"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",300490,1882,0.00626310359745749
"[40,45)",1,"AFIB",327169,837,0.00255831084240866
"[45,50)",0,"AFIB",305129,3193,0.0104644265212418
"[45,50)",1,"AFIB",335558,1447,0.0043122202421042
"[50,55)",0,"AFIB",328467,5840,0.0177795638526854
"[50,55)",1,"AFIB",360738,2471,0.00684984670314744
"[55,60)",0,"AFIB",349624,10388,0.0297119190902226
"[55,60)",1,"AFIB",384918,4802,0.0124753843675796
"[60,65)",0,"AFIB",344312,17003,0.049382536768977
"[60,65)",1,"AFIB",384813,8373,0.0217586204208278
"[65,70)",0,"AFIB",281362,23180,0.0823849702518464
"[65,70)",1,"AFIB",318542,12956,0.0406728155156934
"[70,75)",0,"AFIB",202067,26465,0.130971410472764
"[70,75)",1,"AFIB",244787,18072,0.0738274499871317
"[75,80)",0,"AFIB",151488,29939,0.197632815800591
"[75,80)",1,"AFIB",186752,22706,0.121583704592186
"[80,100]",0,"AFIB",191432,59223,0.309368339671528
"[80,100]",1,"AFIB",295206,69650,0.235936938951105
"[40,45)",0,"Anemia",300490,6585,0.0219142067955672
"[40,45)",1,"Anemia",327169,26740,0.0817314598877033
"[45,50)",0,"Anemia",305129,8904,0.0291811004525955
"[45,50)",1,"Anemia",335558,31498,0.0938675281173448
"[50,55)",0,"Anemia",328467,12528,0.0381408177990483
"[50,55)",1,"Anemia",360738,31809,0.088177569316235
"[55,60)",0,"Anemia",349624,17940,0.051312266892433
"[55,60)",1,"Anemia",384918,27847,0.0723452787346915
"[60,65)",0,"Anemia",344312,23504,0.0682636678361486
"[60,65)",1,"Anemia",384813,30495,0.0792462832596612
"[65,70)",0,"Anemia",281362,30251,0.107516295732899
"[65,70)",1,"Anemia",318542,36359,0.114141934187642
"[70,75)",0,"Anemia",202067,32658,0.161619660805574
"[70,75)",1,"Anemia",244787,40151,0.164024233313044
"[75,80)",0,"Anemia",151488,33694,0.222420257710182
"[75,80)",1,"Anemia",186752,40356,0.2160940712817
"[80,100]",0,"Anemia",191432,63355,0.330953027706966
"[80,100]",1,"Anemia",295206,90585,0.306853519237414
"[40,45)",0,"Anxiety",300490,43695,0.145412492928217
"[40,45)",1,"Anxiety",327169,79309,0.242409886022209
"[45,50)",0,"Anxiety",305129,40748,0.133543517659744
"[45,50)",1,"Anxiety",335558,77368,0.230565207803122
"[50,55)",0,"Anxiety",328467,40458,0.123172190813689
"[50,55)",1,"Anxiety",360738,80491,0.223128697281684
"[55,60)",0,"Anxiety",349624,40518,0.115890213486488
"[55,60)",1,"Anxiety",384918,82010,0.213058365677885
"[60,65)",0,"Anxiety",344312,38004,0.110376635144869
"[60,65)",1,"Anxiety",384813,79783,0.207329274218906
"[65,70)",0,"Anxiety",281362,32799,0.11657224500821
"[65,70)",1,"Anxiety",318542,69998,0.219744962987612
"[70,75)",0,"Anxiety",202067,24624,0.121860570998728
"[70,75)",1,"Anxiety",244787,58103,0.237361461188707
"[75,80)",0,"Anxiety",151488,19178,0.12659748626954
"[75,80)",1,"Anxiety",186752,46302,0.247933087731323
"[80,100]",0,"Anxiety",191432,24933,0.130244682184797
"[80,100]",1,"Anxiety",295206,75321,0.255147253104612
"[40,45)",0,"Arthritis",300490,16354,0.0544244400812007
"[40,45)",1,"Arthritis",327169,16063,0.0490969498943971
"[45,50)",0,"Arthritis",305129,23613,0.0773869412609093
"[45,50)",1,"Arthritis",335558,25806,0.0769047377800559
"[50,55)",0,"Arthritis",328467,34212,0.104156581939738
"[50,55)",1,"Arthritis",360738,40991,0.113630945450715
"[55,60)",0,"Arthritis",349624,48703,0.139301077729218
"[55,60)",1,"Arthritis",384918,59408,0.154339365786999
"[60,65)",0,"Arthritis",344312,59527,0.172886800343874
"[60,65)",1,"Arthritis",384813,73384,0.190700418125167
"[65,70)",0,"Arthritis",281362,63128,0.224365763678109
"[65,70)",1,"Arthritis",318542,81311,0.255259902932737
"[70,75)",0,"Arthritis",202067,54051,0.267490485828958
"[70,75)",1,"Arthritis",244787,77399,0.316189176712816
"[75,80)",0,"Arthritis",151488,45898,0.302981094212083
"[75,80)",1,"Arthritis",186752,66393,0.355514264907471
"[80,100]",0,"Arthritis",191432,62904,0.328597099753437
"[80,100]",1,"Arthritis",295206,116010,0.392979817483385
"[40,45)",0,"CAD",300490,4042,0.0134513627741356
"[40,45)",1,"CAD",327169,2976,0.00909621632856414
"[45,50)",0,"CAD",305129,8050,0.0263822842142176
"[45,50)",1,"CAD",335558,5192,0.0154727349668314
"[50,55)",0,"CAD",328467,15362,0.046768777380985
"[50,55)",1,"CAD",360738,8445,0.0234103421319628
"[55,60)",0,"CAD",349624,26454,0.0756641420497449
"[55,60)",1,"CAD",384918,13556,0.0352178905637045
"[60,65)",0,"CAD",344312,39405,0.114445619089663
"[60,65)",1,"CAD",384813,19431,0.0504946558458264
"[65,70)",0,"CAD",281362,49073,0.174412322914964
"[65,70)",1,"CAD",318542,25516,0.0801024668646521
"[70,75)",0,"CAD",202067,49944,0.247165544101709
"[70,75)",1,"CAD",244787,29244,0.119467128564834
"[75,80)",0,"CAD",151488,49054,0.323814427545416
"[75,80)",1,"CAD",186752,30517,0.163409227210418
"[80,100]",0,"CAD",191432,77312,0.403861423377492
"[80,100]",1,"CAD",295206,66028,0.223667540632643
"[40,45)",0,"CVA",300490,1723,0.00573396785250757
"[40,45)",1,"CVA",327169,1954,0.00597244848992417
"[45,50)",0,"CVA",305129,2589,0.0084849358795788
"[45,50)",1,"CVA",335558,3019,0.00899695432682279
"[50,55)",0,"CVA",328467,4333,0.0131915839338503
"[50,55)",1,"CVA",360738,4325,0.0119893108017453
"[55,60)",0,"CVA",349624,7379,0.0211055305127794
"[55,60)",1,"CVA",384918,6437,0.0167230423103102
"[60,65)",0,"CVA",344312,10856,0.0315295429726527
"[60,65)",1,"CVA",384813,9315,0.0242065626681011
"[65,70)",0,"CVA",281362,14890,0.0529211478451248
"[65,70)",1,"CVA",318542,12880,0.0404342284533908
"[70,75)",0,"CVA",202067,16764,0.082962581717945
"[70,75)",1,"CVA",244787,15897,0.0649421742167681
"[75,80)",0,"CVA",151488,18230,0.120339564850021
"[75,80)",1,"CVA",186752,18065,0.0967325651130912
"[80,100]",0,"CVA",191432,32050,0.167422374524635
"[80,100]",1,"CVA",295206,41806,0.141616362811054
"[40,45)",0,"Cancer",300490,7472,0.024866052114879
"[40,45)",1,"Cancer",327169,12048,0.0368250048140258
"[45,50)",0,"Cancer",305129,12762,0.0418249330610987
"[45,50)",1,"Cancer",335558,19921,0.0593667860697704
"[50,55)",0,"Cancer",328467,35240,0.107286272289149
"[50,55)",1,"Cancer",360738,40587,0.112511019077558
"[55,60)",0,"Cancer",349624,46066,0.131758689334828
"[55,60)",1,"Cancer",384918,49758,0.129269091079139
"[60,65)",0,"Cancer",344312,61949,0.179921118055717
"[60,65)",1,"Cancer",384813,62275,0.161831850795061
"[65,70)",0,"Cancer",281362,69249,0.246120655952119
"[65,70)",1,"Cancer",318542,64712,0.203150604943775
"[70,75)",0,"Cancer",202067,67803,0.335547120509534
"[70,75)",1,"Cancer",244787,62685,0.256079775478273
"[75,80)",0,"Cancer",151488,61394,0.405273024926067
"[75,80)",1,"Cancer",186752,53636,0.287204420836189
"[80,100]",0,"Cancer",191432,84287,0.440297337958126
"[80,100]",1,"Cancer",295206,79321,0.268697113202306
"[40,45)",0,"Chronpain",300490,21333,0.0709940430629971
"[40,45)",1,"Chronpain",327169,32741,0.100073662235725
"[45,50)",0,"Chronpain",305129,24687,0.0809067640243962
"[45,50)",1,"Chronpain",335558,38926,0.116003790700862
"[50,55)",0,"Chronpain",328467,29820,0.090785375699842
"[50,55)",1,"Chronpain",360738,47818,0.132556037900083
"[55,60)",0,"Chronpain",349624,37675,0.107758620689655
"[55,60)",1,"Chronpain",384918,56946,0.147943198291584
"[60,65)",0,"Chronpain",344312,41674,0.121035572387834
"[60,65)",1,"Chronpain",384813,59857,0.155548279294099
"[65,70)",0,"Chronpain",281362,40567,0.144180806221167
"[65,70)",1,"Chronpain",318542,59586,0.187058535452154
"[70,75)",0,"Chronpain",202067,33935,0.167939346850302
"[70,75)",1,"Chronpain",244787,54659,0.223292086589566
"[75,80)",0,"Chronpain",151488,27854,0.18386934938741
"[75,80)",1,"Chronpain",186752,45609,0.244222284098698
"[80,100]",0,"Chronpain",191432,35960,0.187847381837937
"[80,100]",1,"Chronpain",295206,73004,0.247298496643022
"[40,45)",0,"Dementia",300490,7002,0.0233019401643981
"[40,45)",1,"Dementia",327169,5756,0.0175933538935535
"[45,50)",0,"Dementia",305129,7319,0.0239865761694234
"[45,50)",1,"Dementia",335558,6523,0.0194392623629894
"[50,55)",0,"Dementia",328467,8538,0.0259934787969568
"[50,55)",1,"Dementia",360738,7577,0.0210041636866646
"[55,60)",0,"Dementia",349624,10072,0.0288080909777361
"[55,60)",1,"Dementia",384918,9248,0.0240258964246931
"[60,65)",0,"Dementia",344312,11099,0.0322352982178954
"[60,65)",1,"Dementia",384813,10139,0.0263478624682638
"[65,70)",0,"Dementia",281362,12933,0.0459656954386164
"[65,70)",1,"Dementia",318542,12657,0.0397341637837397
"[70,75)",0,"Dementia",202067,13947,0.0690216611321987
"[70,75)",1,"Dementia",244787,15487,0.0632672486692512
"[75,80)",0,"Dementia",151488,16565,0.109348595268272
"[75,80)",1,"Dementia",186752,20119,0.107731108636052
"[80,100]",0,"Dementia",191432,41568,0.217142379539471
"[80,100]",1,"Dementia",295206,77140,0.261309051984038
"[40,45)",0,"Depress",300490,30973,0.10307497753669
"[40,45)",1,"Depress",327169,60169,0.183908010844548
"[45,50)",0,"Depress",305129,30379,0.0995611692103995
"[45,50)",1,"Depress",335558,62181,0.185306265980844
"[50,55)",0,"Depress",328467,31952,0.0972761342844182
"[50,55)",1,"Depress",360738,67598,0.187388076665059
"[55,60)",0,"Depress",349624,34167,0.0977249845548361
"[55,60)",1,"Depress",384918,72717,0.188915561236419
"[60,65)",0,"Depress",344312,33609,0.0976120495364669
"[60,65)",1,"Depress",384813,74275,0.193015828467333
"[65,70)",0,"Depress",281362,31469,0.11184523851835
"[65,70)",1,"Depress",318542,67854,0.213014296387917
"[70,75)",0,"Depress",202067,25414,0.125770165341199
"[70,75)",1,"Depress",244787,55981,0.228692700184242
"[75,80)",0,"Depress",151488,19952,0.131706801858893
"[75,80)",1,"Depress",186752,43226,0.231462045921864
"[80,100]",0,"Depress",191432,29260,0.152848008692382
"[80,100]",1,"Depress",295206,71833,0.243331775099422
"[40,45)",0,"Diabetes",300490,17162,0.057113381476921
"[40,45)",1,"Diabetes",327169,14634,0.0447291766640482
"[45,50)",0,"Diabetes",305129,27853,0.0912827033811929
"[45,50)",1,"Diabetes",335558,22381,0.0666978584924216
"[50,55)",0,"Diabetes",328467,40530,0.123391390915982
"[50,55)",1,"Diabetes",360738,32705,0.0906613664210591
"[55,60)",0,"Diabetes",349624,54153,0.154889252454065
"[55,60)",1,"Diabetes",384918,45344,0.11780171361173
"[60,65)",0,"Diabetes",344312,62721,0.182163270522085
"[60,65)",1,"Diabetes",384813,54582,0.141840322442329
"[65,70)",0,"Diabetes",281362,65217,0.231790362593385
"[65,70)",1,"Diabetes",318542,57577,0.180751674818391
"[70,75)",0,"Diabetes",202067,55314,0.273740887923313
"[70,75)",1,"Diabetes",244787,52532,0.214602899663789
"[75,80)",0,"Diabetes",151488,45996,0.303628010139417
"[75,80)",1,"Diabetes",186752,43693,0.233962688485264
"[80,100]",0,"Diabetes",191432,57472,0.300221488570354
"[80,100]",1,"Diabetes",295206,66298,0.224582156189237
"[40,45)",0,"DuraMed",300490,1142,0.00380045924989184
"[40,45)",1,"DuraMed",327169,1718,0.00525110875419126
"[45,50)",0,"DuraMed",305129,1789,0.00586309397009134
"[45,50)",1,"DuraMed",335558,2388,0.00711650444930534
"[50,55)",0,"DuraMed",328467,2964,0.00902373754441085
"[50,55)",1,"DuraMed",360738,3922,0.0108721565235711
"[55,60)",0,"DuraMed",349624,5069,0.0144984326018809
"[55,60)",1,"DuraMed",384918,6404,0.0166373097646772
"[60,65)",0,"DuraMed",344312,6643,0.0192935477125398
"[60,65)",1,"DuraMed",384813,8671,0.0225330225330225
"[65,70)",0,"DuraMed",281362,8364,0.0297268287828491
"[65,70)",1,"DuraMed",318542,11353,0.035640512083179
"[70,75)",0,"DuraMed",202067,8709,0.0430995659855394
"[70,75)",1,"DuraMed",244787,12932,0.0528296028792379
"[75,80)",0,"DuraMed",151488,8760,0.0578263624841572
"[75,80)",1,"DuraMed",186752,12992,0.0695681973954764
"[80,100]",0,"DuraMed",191432,18230,0.0952296376781311
"[80,100]",1,"DuraMed",295206,34757,0.117738121853892
"[40,45)",0,"Falls",300490,7615,0.0253419414955573
"[40,45)",1,"Falls",327169,9635,0.0294496116685872
"[45,50)",0,"Falls",305129,7917,0.0259464029967653
"[45,50)",1,"Falls",335558,11023,0.0328497606971075
"[50,55)",0,"Falls",328467,9459,0.0287974134387929
"[50,55)",1,"Falls",360738,14344,0.0397629304370485
"[55,60)",0,"Falls",349624,11242,0.032154543166373
"[55,60)",1,"Falls",384918,18607,0.0483401659574247
"[60,65)",0,"Falls",344312,12571,0.0365104904853737
"[60,65)",1,"Falls",384813,21961,0.0570692778050638
"[65,70)",0,"Falls",281362,13291,0.0472380776366389
"[65,70)",1,"Falls",318542,24280,0.0762222877987832
"[70,75)",0,"Falls",202067,14341,0.0709715094498359
"[70,75)",1,"Falls",244787,26557,0.108490238452205
"[75,80)",0,"Falls",151488,15189,0.100265367553866
"[75,80)",1,"Falls",186752,27352,0.146461617546265
"[80,100]",0,"Falls",191432,37206,0.194356220485603
"[80,100]",1,"Falls",295206,78958,0.26746746339844
"[40,45)",0,"Fatigue",300490,28324,0.0942593763519585
"[40,45)",1,"Fatigue",327169,50156,0.153303032989067
"[45,50)",0,"Fatigue",305129,31227,0.102340321634456
"[45,50)",1,"Fatigue",335558,53892,0.160604128049398
"[50,55)",0,"Fatigue",328467,34625,0.10541393808206
"[50,55)",1,"Fatigue",360738,56326,0.156141022015978
"[55,60)",0,"Fatigue",349624,38192,0.109237352126856
"[55,60)",1,"Fatigue",384918,57544,0.149496775936693
"[60,65)",0,"Fatigue",344312,39770,0.115505704128813
"[60,65)",1,"Fatigue",384813,57355,0.14904641994943
"[65,70)",0,"Fatigue",281362,39620,0.140815035434778
"[65,70)",1,"Fatigue",318542,55011,0.172696222162227
"[70,75)",0,"Fatigue",202067,37370,0.184938658959652
"[70,75)",1,"Fatigue",244787,54968,0.224554408526597
"[75,80)",0,"Fatigue",151488,35750,0.235992289818335
"[75,80)",1,"Fatigue",186752,50900,0.272553975325565
"[80,100]",0,"Fatigue",191432,64133,0.33501713402148
"[80,100]",1,"Fatigue",295206,110152,0.373136047370311
"[40,45)",0,"FtoThrive",300490,55,0.000183034377183933
"[40,45)",1,"FtoThrive",327169,64,0.000195617555452992
"[45,50)",0,"FtoThrive",305129,64,0.000209747352758997
"[45,50)",1,"FtoThrive",335558,73,0.000217548084086805
"[50,55)",0,"FtoThrive",328467,103,0.000313577924114142
"[50,55)",1,"FtoThrive",360738,142,0.000393637487594875
"[55,60)",0,"FtoThrive",349624,221,0.000632107635631421
"[55,60)",1,"FtoThrive",384918,271,0.000704046056562696
"[60,65)",0,"FtoThrive",344312,349,0.0010136155579823
"[60,65)",1,"FtoThrive",384813,367,0.000953709983810318
"[65,70)",0,"FtoThrive",281362,570,0.00202585992422573
"[65,70)",1,"FtoThrive",318542,568,0.00178312436036692
"[70,75)",0,"FtoThrive",202067,719,0.00355822573700802
"[70,75)",1,"FtoThrive",244787,893,0.00364806954617688
"[75,80)",0,"FtoThrive",151488,881,0.00581564216307562
"[75,80)",1,"FtoThrive",186752,1235,0.00661304832076765
"[80,100]",0,"FtoThrive",191432,2803,0.0146422750637302
"[80,100]",1,"FtoThrive",295206,5857,0.0198403826480492
"[40,45)",0,"GaitAb",300490,3657,0.012170122133848
"[40,45)",1,"GaitAb",327169,5861,0.0179142889454686
"[45,50)",0,"GaitAb",305129,4795,0.0157146649449905
"[45,50)",1,"GaitAb",335558,7679,0.0228842703794873
"[50,55)",0,"GaitAb",328467,6747,0.0205408762524089
"[50,55)",1,"GaitAb",360738,10577,0.0293204486358521
"[55,60)",0,"GaitAb",349624,9631,0.0275467359220191
"[55,60)",1,"GaitAb",384918,14645,0.0380470645695966
"[60,65)",0,"GaitAb",344312,12690,0.0368561072515625
"[60,65)",1,"GaitAb",384813,18370,0.0477374724866364
"[65,70)",0,"GaitAb",281362,17124,0.0608610970920025
"[65,70)",1,"GaitAb",318542,24527,0.0769976957512667
"[70,75)",0,"GaitAb",202067,20207,0.100001484656079
"[70,75)",1,"GaitAb",244787,29982,0.122481994550364
"[75,80)",0,"GaitAb",151488,22574,0.149015103506548
"[75,80)",1,"GaitAb",186752,32244,0.1726567854695
"[80,100]",0,"GaitAb",191432,51552,0.269296669313385
"[80,100]",1,"GaitAb",295206,93366,0.316274059470336
"[40,45)",0,"HF",300490,1382,0.00459915471396719
"[40,45)",1,"HF",327169,906,0.00276921101938142
"[45,50)",0,"HF",305129,2486,0.00814737373373229
"[45,50)",1,"HF",335558,1649,0.00491420261176905
"[50,55)",0,"HF",328467,4331,0.0131854950421199
"[50,55)",1,"HF",360738,2708,0.00750683321413325
"[55,60)",0,"HF",349624,7181,0.0205392078347024
"[55,60)",1,"HF",384918,4760,0.012366270218592
"[60,65)",0,"HF",344312,10457,0.0303707102860197
"[60,65)",1,"HF",384813,7239,0.0188117345307981
"[65,70)",0,"HF",281362,13913,0.0494487528521975
"[65,70)",1,"HF",318542,10468,0.032862228528734
"[70,75)",0,"HF",202067,15292,0.0756778692215948
"[70,75)",1,"HF",244787,13198,0.0539162618929927
"[75,80)",0,"HF",151488,17386,0.114768166455429
"[75,80)",1,"HF",186752,15643,0.0837634938313914
"[80,100]",0,"HF",191432,39302,0.205305278114422
"[80,100]",1,"HF",295206,51430,0.174217326206107
"[40,45)",0,"HTN",300490,53026,0.176465106991913
"[40,45)",1,"HTN",327169,40060,0.122444363616357
"[45,50)",0,"HTN",305129,76652,0.251211782557541
"[45,50)",1,"HTN",335558,61479,0.183214228240721
"[50,55)",0,"HTN",328467,106930,0.325542596364323
"[50,55)",1,"HTN",360738,88464,0.245230610581641
"[55,60)",0,"HTN",349624,139785,0.399815230075738
"[55,60)",1,"HTN",384918,120198,0.312269106666875
"[60,65)",0,"HTN",344312,162562,0.472135737354492
"[60,65)",1,"HTN",384813,147764,0.383989106397133
"[65,70)",0,"HTN",281362,161177,0.572845657906896
"[65,70)",1,"HTN",318542,156207,0.490381174225063
"[70,75)",0,"HTN",202067,133194,0.659157606140538
"[70,75)",1,"HTN",244787,146010,0.5964777541291
"[75,80)",0,"HTN",151488,110702,0.730764152936206
"[75,80)",1,"HTN",186752,128477,0.687955149074709
"[80,100]",0,"HTN",191432,151503,0.791419407413599
"[80,100]",1,"HTN",295206,233883,0.79227048230727
"[40,45)",0,"Hearing",300490,5268,0.0175313654364538
"[40,45)",1,"Hearing",327169,6148,0.0187915114207031
"[45,50)",0,"Hearing",305129,6692,0.0219317075728626
"[45,50)",1,"Hearing",335558,7553,0.022508776426132
"[50,55)",0,"Hearing",328467,9028,0.0274852572708978
"[50,55)",1,"Hearing",360738,10041,0.0278346057249306
"[55,60)",0,"Hearing",349624,12839,0.0367223073930851
"[55,60)",1,"Hearing",384918,13339,0.0346541341272687
"[60,65)",0,"Hearing",344312,16558,0.0480901043239852
"[60,65)",1,"Hearing",384813,16756,0.0435432274897158
"[65,70)",0,"Hearing",281362,20354,0.0723409699959483
"[65,70)",1,"Hearing",318542,20095,0.0630843028548826
"[70,75)",0,"Hearing",202067,21053,0.104188214800042
"[70,75)",1,"Hearing",244787,22080,0.0902008685101742
"[75,80)",0,"Hearing",151488,20658,0.136367237008872
"[75,80)",1,"Hearing",186752,21133,0.113160769362577
"[80,100]",0,"Hearing",191432,35882,0.187439926449079
"[80,100]",1,"Hearing",295206,49708,0.168384111434049
"[40,45)",0,"Incont",300490,1162,0.00386701720523146
"[40,45)",1,"Incont",327169,9091,0.0277868624472368
"[45,50)",0,"Incont",305129,1499,0.00491267627790213
"[45,50)",1,"Incont",335558,11902,0.0354692780383719
"[50,55)",0,"Incont",328467,1998,0.00608280283864132
"[50,55)",1,"Incont",360738,13911,0.0385626133093824
"[55,60)",0,"Incont",349624,3214,0.00919273276434112
"[55,60)",1,"Incont",384918,15465,0.0401773884307827
"[60,65)",0,"Incont",344312,4807,0.0139611747484839
"[60,65)",1,"Incont",384813,17283,0.0449127238424897
"[65,70)",0,"Incont",281362,6962,0.0247439241972974
"[65,70)",1,"Incont",318542,19512,0.0612540889427454
"[70,75)",0,"Incont",202067,8737,0.0432381338862852
"[70,75)",1,"Incont",244787,21624,0.0883380244865945
"[75,80)",0,"Incont",151488,9514,0.0628036544148712
"[75,80)",1,"Incont",186752,21489,0.115067040781357
"[80,100]",0,"Incont",191432,18528,0.0967863262150529
"[80,100]",1,"Incont",295206,41508,0.140606898233776
"[40,45)",0,"Kidney",300490,3734,0.0124263702619056
"[40,45)",1,"Kidney",327169,2878,0.00879667694677674
"[45,50)",0,"Kidney",305129,6262,0.0205224675465131
"[45,50)",1,"Kidney",335558,4573,0.0136280464182049
"[50,55)",0,"Kidney",328467,9872,0.0300547695811147
"[50,55)",1,"Kidney",360738,7028,0.0194822835409632
"[55,60)",0,"Kidney",349624,14617,0.0418077706335949
"[55,60)",1,"Kidney",384918,11189,0.0290685288814761
"[60,65)",0,"Kidney",344312,20173,0.0585893027254351
"[60,65)",1,"Kidney",384813,16339,0.0424595842656043
"[65,70)",0,"Kidney",281362,27810,0.098840639460908
"[65,70)",1,"Kidney",318542,23826,0.0747970440318702
"[70,75)",0,"Kidney",202067,31400,0.15539400297921
"[70,75)",1,"Kidney",244787,29020,0.118552047290093
"[75,80)",0,"Kidney",151488,33610,0.221865758343895
"[75,80)",1,"Kidney",186752,31840,0.170493488690884
"[80,100]",0,"Kidney",191432,63974,0.334186551882653
"[80,100]",1,"Kidney",295206,78489,0.265878742301986
"[40,45)",0,"Liver",300490,5198,0.0172984125927651
"[40,45)",1,"Liver",327169,4560,0.0139377508260257
"[45,50)",0,"Liver",305129,6459,0.0211680961167244
"[45,50)",1,"Liver",335558,5997,0.017871724113268
"[50,55)",0,"Liver",328467,7816,0.0237953888822926
"[50,55)",1,"Liver",360738,8154,0.0226036624918916
"[55,60)",0,"Liver",349624,9314,0.0266400475939867
"[55,60)",1,"Liver",384918,10006,0.025995147018326
"[60,65)",0,"Liver",344312,9942,0.0288749738609168
"[60,65)",1,"Liver",384813,11075,0.028780212726701
"[65,70)",0,"Liver",281362,9864,0.035058039109759
"[65,70)",1,"Liver",318542,10726,0.0336721688191824
"[70,75)",0,"Liver",202067,7441,0.0368244196231943
"[70,75)",1,"Liver",244787,8805,0.0359700474289893
"[75,80)",0,"Liver",151488,5057,0.03338218208703
"[75,80)",1,"Liver",186752,6046,0.0323744859492803
"[80,100]",0,"Liver",191432,4750,0.0248129884240879
"[80,100]",1,"Liver",295206,6151,0.0208362973652297
"[40,45)",0,"Lung",300490,16486,0.0548637225864421
"[40,45)",1,"Lung",327169,26624,0.0813769030684448
"[45,50)",0,"Lung",305129,18496,0.0606169849473501
"[45,50)",1,"Lung",335558,30904,0.0920973423372412
"[50,55)",0,"Lung",328467,22450,0.0683478096734223
"[50,55)",1,"Lung",360738,36175,0.100280536012286
"[55,60)",0,"Lung",349624,28804,0.0823856485824772
"[55,60)",1,"Lung",384918,43696,0.113520282241932
"[60,65)",0,"Lung",344312,34563,0.100382792351123
"[60,65)",1,"Lung",384813,49826,0.129481072624885
"[65,70)",0,"Lung",281362,36215,0.128713187992693
"[65,70)",1,"Lung",318542,49276,0.154692316868733
"[70,75)",0,"Lung",202067,31760,0.157175590274513
"[70,75)",1,"Lung",244787,44555,0.182015384803932
"[75,80)",0,"Lung",151488,28360,0.187209547950993
"[75,80)",1,"Lung",186752,38425,0.205754155243317
"[80,100]",0,"Lung",191432,40049,0.209207447030799
"[80,100]",1,"Lung",295206,60319,0.204328502808208
"[40,45)",0,"Muscular",300490,4821,0.0160437951346135
"[40,45)",1,"Muscular",327169,6940,0.0212122786694338
"[45,50)",0,"Muscular",305129,5703,0.0186904555122588
"[45,50)",1,"Muscular",335558,8107,0.024159757776599
"[50,55)",0,"Muscular",328467,6867,0.0209062097562312
"[50,55)",1,"Muscular",360738,10315,0.0285941597502897
"[55,60)",0,"Muscular",349624,9322,0.0266629293183534
"[55,60)",1,"Muscular",384918,12871,0.0334382907528357
"[60,65)",0,"Muscular",344312,11162,0.0324182717999954
"[60,65)",1,"Muscular",384813,15178,0.039442534425812
"[65,70)",0,"Muscular",281362,13348,0.0474406636290615
"[65,70)",1,"Muscular",318542,18148,0.0569720790351037
"[70,75)",0,"Muscular",202067,14385,0.0711892590081508
"[70,75)",1,"Muscular",244787,20674,0.0844570994374701
"[75,80)",0,"Muscular",151488,14849,0.098020965356992
"[75,80)",1,"Muscular",186752,21650,0.115929146675805
"[80,100]",0,"Muscular",191432,33546,0.175237159931464
"[80,100]",1,"Muscular",295206,66065,0.223792876838547
"[40,45)",0,"Osteo",300490,1040,0.00346101367765982
"[40,45)",1,"Osteo",327169,1308,0.00399793378957053
"[45,50)",0,"Osteo",305129,1177,0.00385738490933343
"[45,50)",1,"Osteo",335558,2219,0.00661286573409068
"[50,55)",0,"Osteo",328467,1601,0.00487415783016254
"[50,55)",1,"Osteo",360738,4764,0.0132062604993097
"[55,60)",0,"Osteo",349624,2255,0.00644978605587717
"[55,60)",1,"Osteo",384918,11754,0.0305363739809518
"[60,65)",0,"Osteo",344312,2908,0.00844582820232812
"[60,65)",1,"Osteo",384813,22007,0.0571888163861408
"[65,70)",0,"Osteo",281362,3673,0.0130543570204932
"[65,70)",1,"Osteo",318542,33569,0.105383277558375
"[70,75)",0,"Osteo",202067,4262,0.0210920140349488
"[70,75)",1,"Osteo",244787,35103,0.143402223157276
"[75,80)",0,"Osteo",151488,4657,0.0307417089142374
"[75,80)",1,"Osteo",186752,32323,0.173079806374229
"[80,100]",0,"Osteo",191432,9413,0.0491715073759873
"[80,100]",1,"Osteo",295206,62108,0.210388677736902
"[40,45)",0,"PD",300490,835,0.0027787946354288
"[40,45)",1,"PD",327169,1034,0.0031604461302874
"[45,50)",0,"PD",305129,1156,0.00378856155920938
"[45,50)",1,"PD",335558,1345,0.00400824894653085
"[50,55)",0,"PD",328467,1605,0.00488633561362329
"[50,55)",1,"PD",360738,1698,0.00470701728124012
"[55,60)",0,"PD",349624,2665,0.00762247442967302
"[55,60)",1,"PD",384918,2517,0.00653905507146977
"[60,65)",0,"PD",344312,3834,0.0111352494249402
"[60,65)",1,"PD",384813,3733,0.00970081572088261
"[65,70)",0,"PD",281362,5578,0.0198249941356686
"[65,70)",1,"PD",318542,5338,0.0167576018233074
"[70,75)",0,"PD",202067,6413,0.0317369981243845
"[70,75)",1,"PD",244787,6149,0.0251197980284901
"[75,80)",0,"PD",151488,6980,0.0460762568652303
"[75,80)",1,"PD",186752,6432,0.0344413982179575
"[80,100]",0,"PD",191432,11141,0.0581982113753187
"[80,100]",1,"PD",295206,12390,0.0419706916526087
"[40,45)",0,"PVD",300490,3968,0.013205098339379
"[40,45)",1,"PVD",327169,4863,0.0148638776901235
"[45,50)",0,"PVD",305129,6369,0.0208731389019071
"[45,50)",1,"PVD",335558,6985,0.0208160735252922
